bin,v_low,v_high,parameter,estimate,bootstrap_sem
1,1.090245320380023,1.8471509030723694,c_qq,-4.606618724821847,0.4373157615830596
1,1.090245320380023,1.8471509030723694,c_p0,-0.07316983770125597,0.3721165317263153
1,1.090245320380023,1.8471509030723694,c_pp,-4.367810299902942,0.3702432005187511
1,1.090245320380023,1.8471509030723694,c_pomega,0.12549327157823273,0.6262396800979625
1,1.090245320380023,1.8471509030723694,c_omega0,-0.014353938732876301,0.2784852377392468
1,1.090245320380023,1.8471509030723694,c_omegap,-0.2235605021898342,0.2811237743734284
1,1.090245320380023,1.8471509030723694,c_omegaomega,-4.215591196452626,0.30434954092725514
1,1.090245320380023,1.8471509030723694,Q_sigma,0.08729977906054076,0.0109703707347258
1,1.090245320380023,1.8471509030723694,Q_qq,6.592428669550853,0.5590878300733336
1,1.090245320380023,1.8471509030723694,Q_pp,6.663512792522563,0.408120324327901
1,1.090245320380023,1.8471509030723694,Q_omegaomega,3.414462092442027,0.25317445472237526
1,1.090245320380023,1.8471509030723694,Q_qp,-0.41089360689506327,0.3145159128755323
1,1.090245320380023,1.8471509030723694,Q_qomega,0.17328057582639905,0.18784312724357094
1,1.090245320380023,1.8471509030723694,Q_pomega,-1.809402884439928,0.22963595469086437
1,1.090245320380023,1.8471509030723694,n,413.0,42.768999305423335
2,1.8471509030723694,2.4422162232246407,b_v,0.22560839261467208,0.019793873428900356
2,1.8471509030723694,2.4422162232246407,Q_v,0.010274596517192513,0.0015285901603836476
2,1.8471509030723694,2.4422162232246407,a_0,0.07082592387765918,0.0859920839374392
2,1.8471509030723694,2.4422162232246407,a_1,-0.4742219328032549,0.12564608879632805
2,1.8471509030723694,2.4422162232246407,c_q0,1.4752446553490965,0.4632073806611956
2,1.8471509030723694,2.4422162232246407,c_qsigma,-0.9412511924534414,0.6980755855317532
2,1.8471509030723694,2.4422162232246407,c_qq,-3.2787243886962765,0.3609466114006386
2,1.8471509030723694,2.4422162232246407,c_p0,-0.20283324945178186,0.25487064296709294
2,1.8471509030723694,2.4422162232246407,c_pp,-2.698122848726356,0.28299843807761993
2,1.8471509030723694,2.4422162232246407,c_pomega,0.10208998400784038,0.4876253617815289
2,1.8471509030723694,2.4422162232246407,c_omega0,-0.0783312383024697,0.15149264296608442
2,1.8471509030723694,2.4422162232246407,c_omegap,0.006641424959425293,0.18373299524906983
2,1.8471509030723694,2.4422162232246407,c_omegaomega,-2.8691894418784223,0.32546601955579124
